 CALCULATION WITH NEFF7 (VAX VERSION).

 EFFICIENCY OF THE DETECTOR IN
 THE ENERGY RANGE    EMIN             0. KEV
                     EMAX         20000. KEV
 ENERGY BIN WIDTH                    50. KEV

 NE 213 SCINTILLATOR
           DENSITY                0.8740 G/CM**3
           NH/NC                  1.2130
 LIGHT PIPE
           DENSITY                1.1800 G/CM**3
           NH/NC                  1.1000

 RADIUS OF THE SCINTILLATORS        6.19 CM
 HEIGHT   OF THE SCINTILLATOR         4.92 CM
 RADIUS OF THE HOUSING              6.35 CM
 HEIGHT OF THE HOUSING              5.08 CM

 LENGTH OF THE LIGHT PIPE           0.00 CM
 14850. -14900.    0.11096 0.12625 0.13738 0.15574
 14900. -14950.    0.10933 0.12587 0.13660 0.15504
 14950. -15000.    0.10939 0.12450 0.13593 0.15388
 15000. -15050.    0.11071 0.12559 0.13784 0.15735
 15050. -15100.    0.10859 0.12420 0.13630 0.15548
 15100. -15150.    0.10995 0.12598 0.13855 0.15797
 15150. -15200.    0.11074 0.12647 0.13763 0.15839
 15200. -15250.    0.10722 0.12308 0.13500 0.15552
 15250. -15300.    0.10914 0.12594 0.13902 0.15884
 15300. -15350.    0.10771 0.12357 0.13669 0.15806
 15350. -15400.    0.10809 0.12378 0.13587 0.15795
 15400. -15450.    0.10778 0.12392 0.13759 0.15833
 15450. -15500.    0.10570 0.12098 0.13433 0.15629
 15500. -15550.    0.10731 0.12231 0.13445 0.15617
 15550. -15600.    0.10830 0.12339 0.13613 0.15869
 15600. -15650.    0.10564 0.12109 0.13483 0.15766
 15650. -15700.    0.10653 0.12144 0.13488 0.15670
 15700. -15750.    0.10379 0.11964 0.13286 0.15602
 15750. -15800.    0.10695 0.12177 0.13562 0.15875
 15800. -15850.    0.10773 0.12272 0.13613 0.15883
 15850. -15900.    0.10585 0.12163 0.13579 0.15827
 15900. -15950.    0.10581 0.12148 0.13484 0.15829
 15950. -16000.    0.10513 0.12070 0.13427 0.15856
 16000. -16050.    0.10421 0.11971 0.13426 0.15830
 16050. -16100.    0.10619 0.12288 0.13616 0.15962
 16100. -16150.    0.10486 0.12110 0.13538 0.16027
 16150. -16200.    0.10462 0.12052 0.13486 0.15877
 16200. -16250.    0.10572 0.12222 0.13717 0.16097
 16250. -16300.    0.10571 0.12234 0.13682 0.16050
 16300. -16350.    0.10551 0.12173 0.13639 0.16047
 16350. -16400.    0.10427 0.12117 0.13520 0.15880
 16400. -16450.    0.10391 0.12041 0.13529 0.15909
 16450. -16500.    0.10272 0.12034 0.13490 0.15881
 16500. -16550.    0.10262 0.11893 0.13392 0.15658
 16550. -16600.    0.10224 0.11846 0.13324 0.15576
 16600. -16650.    0.10303 0.11908 0.13423 0.15666
 16650. -16700.    0.10300 0.11976 0.13478 0.15686
 16700. -16750.    0.10192 0.11800 0.13335 0.15546
 16750. -16800.    0.10417 0.12085 0.13490 0.15665
 16800. -16850.    0.10304 0.11948 0.13419 0.15614
 16850. -16900.    0.10443 0.11959 0.13492 0.15712
 16900. -16950.    0.10367 0.11932 0.13483 0.15718
 16950. -17000.    0.10329 0.11992 0.13653 0.15851
 17000. -17050.    0.10349 0.12013 0.13711 0.15822
 17050. -17100.    0.10143 0.11858 0.13694 0.15954
 17100. -17150.    0.10275 0.12011 0.13852 0.16148
 17150. -17200.    0.10310 0.12052 0.13854 0.16069
 17200. -17250.    0.10239 0.12011 0.13862 0.15983
 17250. -17300.    0.10260 0.12089 0.14019 0.15989
 17300. -17350.    0.10270 0.12093 0.14110 0.16128
 17350. -17400.    0.10224 0.12028 0.14034 0.16092
 17400. -17450.    0.10165 0.12173 0.14198 0.16207
 17450. -17500.    0.10198 0.12018 0.14036 0.16088
 17500. -17550.    0.10161 0.12219 0.14295 0.16262
 17550. -17600.    0.10264 0.12339 0.14384 0.16440
 17600. -17650.    0.10250 0.12375 0.14474 0.16414
 17650. -17700.    0.10217 0.12327 0.14431 0.16451
 17700. -17750.    0.10270 0.12494 0.14640 0.16634
 17750. -17800.    0.10326 0.12502 0.14606 0.16650
 17800. -17850.    0.10096 0.12479 0.14645 0.16624
 17850. -17900.    0.10029 0.12294 0.14474 0.16458
 17900. -17950.    0.10177 0.12542 0.14766 0.16763
 17950. -18000.    0.10149 0.12465 0.14651 0.16586
 18000. -18050.    0.09984 0.12415 0.14517 0.16491
 18050. -18100.    0.09871 0.12342 0.14403 0.16405
 18100. -18150.    0.10087 0.12613 0.14721 0.16658
 18150. -18200.    0.10160 0.12601 0.14604 0.16538
 18200. -18250.    0.10140 0.12477 0.14534 0.16546
 18250. -18300.    0.10034 0.12456 0.14428 0.16354
 18300. -18350.    0.10260 0.12635 0.14617 0.16482
 18350. -18400.    0.10258 0.12691 0.14743 0.16562
 18400. -18450.    0.10228 0.12686 0.14573 0.16468
 18450. -18500.    0.10310 0.12776 0.14653 0.16426
 18500. -18550.    0.10116 0.12424 0.14243 0.16156
 18550. -18600.    0.10079 0.12543 0.14329 0.16270
 18600. -18650.    0.10276 0.12652 0.14463 0.16322
 18650. -18700.    0.10375 0.12825 0.14586 0.16280
 18700. -18750.    0.10341 0.12603 0.14254 0.16047
 18750. -18800.    0.10366 0.12839 0.14560 0.16299
 18800. -18850.    0.10336 0.12781 0.14473 0.16273
 18850. -18900.    0.10356 0.12707 0.14392 0.16141
 18900. -18950.    0.10239 0.12675 0.14408 0.16100
 18950. -19000.    0.10312 0.12646 0.14262 0.16122
 19000. -19050.    0.10291 0.12735 0.14385 0.16188
 19050. -19100.    0.10381 0.12726 0.14357 0.16102
 19100. -19150.    0.10355 0.12519 0.14237 0.15983
 19150. -19200.    0.10400 0.12687 0.14312 0.16085
 19200. -19250.    0.10340 0.12530 0.14052 0.15884
 19250. -19300.    0.10469 0.12642 0.14277 0.16125
 19300. -19350.    0.10408 0.12613 0.14257 0.15974
 19350. -19400.    0.10576 0.12879 0.14527 0.16269
 19400. -19450.    0.10310 0.12577 0.14253 0.16083
 19450. -19500.    0.10554 0.12848 0.14466 0.16287
 19500. -19550.    0.10459 0.12754 0.14351 0.16217
 19550. -19600.    0.10504 0.12678 0.14311 0.16101
 19600. -19650.    0.10472 0.12716 0.14324 0.16117
 19650. -19700.    0.10577 0.12792 0.14392 0.16229
 19700. -19750.    0.10553 0.12694 0.14292 0.16126
 19750. -19800.    0.10416 0.12580 0.14119 0.15983
 19800. -19850.    0.10428 0.12424 0.13902 0.15473
 19850. -19900.    0.10405 0.12370 0.13871 0.15534
 19900. -19950.    0.10333 0.12306 0.13767 0.15431
 19950. -20000.    0.10448 0.12364 0.13813 0.15478

 STATISTICAL UNCERTAINTY:

     0. -   50.    0.00000 0.00000 0.00000 0.00000
    50. -  100.    0.00000 0.00000 0.00000 0.00000
   100. -  150.    0.00000 0.00000 0.00000 0.00000
   150. -  200.    0.00000 0.00000 0.00000 0.00000
   200. -  250.    0.00000 0.00000 0.00000 0.00000
   250. -  300.    0.00000 0.00000 0.00000 0.00000
   300. -  350.    0.00000 0.00000 0.00000 0.00000
   350. -  400.    0.00000 0.00000 0.00000 0.00000
   400. -  450.    0.00000 0.00000 0.00000 0.00000
   450. -  500.    0.00000 0.00000 0.00000 0.00000
   500. -  550.    0.00000 0.00000 0.00000 0.00000
   550. -  600.    0.00000 0.00000 0.00000 0.00000
   600. -  650.    0.00000 0.00000 0.00000 0.00000
