 CALCULATION WITH NEFF7 (VAX VERSION).

 EFFICIENCY OF THE DETECTOR IN
 THE ENERGY RANGE    EMIN             0. KEV
                     EMAX         20000. KEV
 ENERGY BIN WIDTH                    50. KEV

 NE 213 SCINTILLATOR
           DENSITY                0.8790 G/CM**3
           NH/NC                  1.2800
 LIGHT PIPE
           DENSITY                1.1800 G/CM**3
           NH/NC                  1.1000

 RADIUS OF THE SCINTILLATORS        4.28 CM
 HEIGHT   OF THE SCINTILLATOR         4.92 CM
 RADIUS OF THE HOUSING              4.44 CM
 HEIGHT OF THE HOUSING              5.08 CM

 LENGTH OF THE LIGHT PIPE           0.00 CM
  8250. - 8300.    0.14079 0.16488 0.18064 0.19875
  8300. - 8350.    0.13867 0.16424 0.18006 0.19635
  8350. - 8400.    0.14155 0.16571 0.17988 0.19565
  8400. - 8450.    0.13977 0.16453 0.17950 0.19628
  8450. - 8500.    0.14182 0.16513 0.17942 0.19554
  8500. - 8550.    0.14217 0.16669 0.18083 0.19722
  8550. - 8600.    0.14173 0.16533 0.17927 0.19374
  8600. - 8650.    0.14092 0.16438 0.17835 0.19330
  8650. - 8700.    0.14214 0.16693 0.18069 0.19592
  8700. - 8750.    0.14138 0.16494 0.17887 0.19273
  8750. - 8800.    0.13908 0.16367 0.17713 0.19153
  8800. - 8850.    0.14001 0.16382 0.17674 0.19098
  8850. - 8900.    0.14043 0.16340 0.17677 0.19109
  8900. - 8950.    0.13813 0.16094 0.17431 0.18889
  8950. - 9000.    0.13796 0.16092 0.17420 0.18804
  9000. - 9050.    0.13798 0.16096 0.17372 0.18834
  9050. - 9100.    0.13660 0.15946 0.17214 0.18777
  9100. - 9150.    0.13638 0.15817 0.17097 0.18510
  9150. - 9200.    0.13593 0.15703 0.16926 0.18287
  9200. - 9250.    0.13626 0.15840 0.17015 0.18320
  9250. - 9300.    0.13596 0.15678 0.16961 0.18271
  9300. - 9350.    0.13856 0.15867 0.16993 0.18314
  9350. - 9400.    0.13730 0.15877 0.17179 0.18518
  9400. - 9450.    0.13489 0.15741 0.16943 0.18308
  9450. - 9500.    0.13706 0.15809 0.17102 0.18375
  9500. - 9550.    0.13540 0.15626 0.16748 0.18022
  9550. - 9600.    0.13561 0.15633 0.16847 0.18091
  9600. - 9650.    0.13732 0.15865 0.16991 0.18212
  9650. - 9700.    0.13652 0.15767 0.16917 0.18095
  9700. - 9750.    0.13608 0.15657 0.16710 0.17967
  9750. - 9800.    0.13538 0.15598 0.16693 0.17867
  9800. - 9850.    0.13653 0.15622 0.16745 0.17926
  9850. - 9900.    0.13696 0.15730 0.16794 0.17946
  9900. - 9950.    0.13693 0.15648 0.16752 0.17942
  9950. -10000.    0.13547 0.15512 0.16520 0.17748
 10000. -10050.    0.13674 0.15596 0.16641 0.17812
 10050. -10100.    0.13866 0.15832 0.16801 0.17924
 10100. -10150.    0.13735 0.15611 0.16636 0.17762
 10150. -10200.    0.13702 0.15475 0.16494 0.17524
 10200. -10250.    0.13528 0.15389 0.16430 0.17483
 10250. -10300.    0.13580 0.15416 0.16345 0.17390
 10300. -10350.    0.13477 0.15226 0.16236 0.17372
 10350. -10400.    0.13572 0.15356 0.16306 0.17432
 10400. -10450.    0.13708 0.15417 0.16372 0.17546
 10450. -10500.    0.13506 0.15356 0.16462 0.17477
 10500. -10550.    0.13659 0.15436 0.16401 0.17476
 10550. -10600.    0.13301 0.15109 0.16124 0.17271
 10600. -10650.    0.13820 0.15543 0.16429 0.17448
 10650. -10700.    0.13490 0.15204 0.16131 0.17162
 10700. -10750.    0.13307 0.15117 0.16074 0.17291
 10750. -10800.    0.13303 0.15036 0.15959 0.17069
 10800. -10850.    0.13325 0.14976 0.15874 0.17068
 10850. -10900.    0.13406 0.15058 0.15920 0.17114
 10900. -10950.    0.13293 0.14858 0.15703 0.16856
 10950. -11000.    0.13275 0.14868 0.15754 0.16965
 11000. -11050.    0.13256 0.14983 0.15887 0.17107
 11050. -11100.    0.13400 0.14994 0.15897 0.16999
 11100. -11150.    0.13318 0.14958 0.15893 0.17140
 11150. -11200.    0.13118 0.14752 0.15606 0.16776
 11200. -11250.    0.13157 0.14656 0.15445 0.16572
 11250. -11300.    0.13003 0.14514 0.15335 0.16495
 11300. -11350.    0.13255 0.14750 0.15508 0.16714
 11350. -11400.    0.13017 0.14487 0.15343 0.16537
 11400. -11450.    0.13057 0.14583 0.15423 0.16560
 11450. -11500.    0.12969 0.14424 0.15234 0.16424
 11500. -11550.    0.12995 0.14587 0.15427 0.16498
 11550. -11600.    0.12841 0.14262 0.15048 0.16224
 11600. -11650.    0.12653 0.14043 0.14807 0.16009
 11650. -11700.    0.13041 0.14426 0.15258 0.16403
 11700. -11750.    0.13061 0.14411 0.15163 0.16270
 11750. -11800.    0.12978 0.14368 0.15155 0.16249
 11800. -11850.    0.12794 0.14135 0.14918 0.16160
 11850. -11900.    0.12631 0.14015 0.14794 0.15994
 11900. -11950.    0.12778 0.14175 0.14961 0.16144
 11950. -12000.    0.12811 0.14116 0.14957 0.16174
 12000. -12050.    0.12823 0.14180 0.14985 0.16156
 12050. -12100.    0.12980 0.14282 0.15052 0.16324
 12100. -12150.    0.12852 0.14138 0.14921 0.16188
 12150. -12200.    0.12767 0.13997 0.14851 0.16097
 12200. -12250.    0.12828 0.14083 0.14908 0.16170
 12250. -12300.    0.12582 0.13928 0.14668 0.15963
 12300. -12350.    0.12911 0.14202 0.14946 0.16282
 12350. -12400.    0.12531 0.13733 0.14561 0.15861
 12400. -12450.    0.12603 0.13787 0.14639 0.15977
 12450. -12500.    0.12532 0.13765 0.14633 0.15957
 12500. -12550.    0.12520 0.13783 0.14705 0.15979
 12550. -12600.    0.12587 0.13792 0.14607 0.15901
 12600. -12650.    0.12350 0.13597 0.14482 0.15831
 12650. -12700.    0.12749 0.13973 0.14861 0.16298
 12700. -12750.    0.12505 0.13743 0.14631 0.16053
 12750. -12800.    0.12463 0.13726 0.14567 0.15986
